,genes,state,dev,pval
247,SDC3_LGMN_GRN,111,9.905313597084644,7.122838901623472e-18
248,PLEK_NKG7_SRGN,111,9.693878328881526,3.832271246391161e-42
249,CD4_PSAP_CD74,111,9.679533979209674,8.409980186458226e-14
57,ATP5MPL_RACK1_ATP5F1E,101,9.554365235288948,2.210416893124665e-21
250,NR3C1_HLA-B_SELENOP,111,9.550290644496597,1.6775922446632106e-33
53,RTRAF_RACK1_ATP5F1E,101,9.477952060623068,1.6335487501365588e-08
251,ZDHHC9_TM4SF1_FN1,111,9.477016656812635,7.685010460984306e-24
252,PRDM1_VIM_SRGN,111,9.11545059258766,1.388494112497049e-65
142,EREG_CXCL8_FCN1,101,9.097891550193422,9.416301987741482e-13
253,AKR1C2_AGR2_VIM,110,9.096357830056442,1.780268670994739e-34
255,CHCHD10_ALDH2_SELENOP,111,9.096328457277286,2.3676689218341927e-08
124,ADAMTS4_COL4A1_IGFBP7,011,9.082404408816538,1.2161133518530915e-253
256,KNG1_TF_GC,111,9.015280694949094,9.880702713759497e-42
257,DUSP2_RGS1_SRGN,111,8.975126144149339,7.725211827857508e-70
65,ATP5PB_RACK1_SELENOP,101,8.968543252560153,1.1699643040577313e-12
258,UGT2B7_GC_FN1,111,8.940522047810067,9.630384043910646e-105
30,SELENOF_RACK1_ATP5F1E,110,8.70962027240099,5.004183101138201e-10
259,EPAS1_IGFBP4_A2M,111,8.70186562784959,1.5287149004997482e-18
138,BEX3_ATP5F1E_SELENOP,011,8.589028201195822,4.195000047876988e-157
260,BCL11B_IL7R_CCL5,111,8.482822554471554,2.6079438968998508e-12
122,ATP5ME_RACK1_ATP5F1E,011,8.41802059755873,2.7253136346019504e-111
261,MYLK_IGFBP7_FN1,111,8.412906814823282,4.670189973681862e-11
262,FASN_MLXIPL_FN1,111,8.339971301728237,1.2937450903954104e-24
263,PKD2_TM4SF1_GRN,111,8.31157984907051,6.451497155666894e-27
264,AKR1C2_ALDH1A1_AGR2,111,8.30245605074701,6.555610312501151e-17
361,CYP2C9_HPX_CPS1_GC,1101,8.228891679110495,7.191731115145872e-87
49,SELENOF_ATP5F1E_SELENOP,101,8.196101080338007,6.007389878524324e-08
265,IRF8_FCER1G_CD74,111,8.185117850219575,2.259193013005077e-17
107,MATR3_ATP5F1E_SELENOP,101,8.124291968736413,7.308902154653251e-11
266,RNF130_ITM2B_CST3,111,8.080526266585515,9.508893830871572e-81
267,UGT2B7_CES2_GC,111,8.076250558821448,8.482724298489603e-40
268,GBP1_STAT1_HSPH1,111,8.061042927978523,1.3256180404487894e-23
136,COL6A2_COL6A1_SPARC,110,8.042038673372748,1.0805818972540512e-06
269,DNAJA4_HSPH1_HSPA1B,111,7.947607244806194,1.2553835582628735e-64
270,SLC2A3_FOS_SRGN,111,7.892111516958547,4.71532183465585e-29
66,ATP5PB_RACK1_SELENOP,110,7.876729108635764,4.0990704973631935e-10
271,IL1RN_GLUL_CTSB,111,7.847353265615766,8.819145385239326e-28
272,AQP9_SCD_C4BPA,111,7.807891790885952,9.186798696565741e-08
69,ATP5ME_ATP5F1E_SELENOP,110,7.761585628387892,3.624960926918813e-15
45,ATP5PO_RACK1_ATP5F1E,101,7.7466260703547025,1.4118351570168523e-06
128,VSIR_SPI1_ATP5F1E,110,7.681484469407378,2.8377703578854622e-08
135,COL6A2_COL6A1_SPARC,101,7.450093218974284,4.3113665158387824e-45
115,MINDY2_RACK1_ATP5F1E,110,7.400008532051943,1.1155511413589288e-08
111,MATR3_RACK1_ATP5F1E,101,7.104955218996727,6.614154354849826e-14
273,AREG_FCER1G_CXCR4,111,7.037485924856355,1.2347678971917554e-34
376,CYP2C9_HPX_GC_MLXIPL,1110,7.02474549756377,5.2773099830291587e-79
274,SERPINH1_HSPA1A_SPARC,101,6.95794960146021,4.0953644684694675e-38
88,ATP5PB_ATP5F1E_SELENOP,110,6.911919118599721,1.2360139470704516e-12
363,FUCA1_EPHX1_GPC3_GRN,0111,6.892807821764552,2.0496317729981418e-204
276,VNN2_NDUFA4L2_ITIH2,111,6.878707103933739,2.731327390649278e-07
167,IL2RB_KLRB1_IL7R,011,6.7939790814383505,3.6899206391816563e-98
168,IL2RB_KLRB1_IL7R,101,6.749244105246544,2.5812224958245558e-37
275,SERPINH1_HSPA1A_SPARC,111,6.7113509802128455,1.9395910862409794e-12
80,ATP5PO_ATP5F1E_SELENOP,110,6.697815858430815,3.9347168400325835e-06
83,ATP5MPL_ATP5F1E_SELENOP,101,6.655908124839567,2.2666248841807325e-12
277,POU2F2_LCP1_SRGN,111,6.590154337704685,2.513604071103839e-37
388,SERPING1_APOE_NKG7_GRN,1101,6.4366609044810215,7.750889328406525e-44
353,PLTP_CD68_C1QC_RNASE1,1101,6.412252015845456,1.3926659442610373e-09
358,IL6R_APOB_LYZ_SELENOP,1011,6.3987816105431685,4.076027104220312e-30
303,ATP5F1A_RACK1_ATP5F1E_SELENOP,1001,6.301615869689989,5.428737428800286e-13
162,FAM198B_ITM2B_SPARC,101,6.194574523068938,6.629707101519494e-09
278,CYP2C9_CPS1_GC,111,6.149832276245799,2.2633962448902386e-05
118,ADAMTS1_CLDN5_SPARC,110,6.127388234955271,2.2935526355919806e-07
279,BTG2_FOS_SRGN,111,6.124987721898138,3.4351723480817787e-74
389,CTSS_PSAP_CD74_SRGN,1111,6.119913334486764,5.341208925077253e-174
371,DUSP2_NFKBIA_LCP1_SRGN,1011,6.106521946705155,3.004631407427229e-44
280,ALDH2_C3_FN1,111,6.090851658389914,2.5161199123572e-09
281,DAB2_RNASE1_GRN,111,6.0834194795703285,8.081472846565423e-09
282,RGS2_RGS1_DNAJB1,111,6.04207119707496,8.079499592020557e-07
283,ZBTB20_HSPA1A_SELENOP,111,5.987092308253888,3.6363197279923e-11
254,CHCHD10_ALDH2_SELENOP,101,5.971451333158645,2.2371742829991166e-28
58,ATP5MPL_RACK1_ATP5F1E,110,5.955715871809764,3.961241120011156e-11
284,BCL11B_BTG1_CCL5,111,5.92640438710012,1.8800045874546477e-43
126,VSIR_SPI1_ATP5F1E,011,5.886851735249685,6.365567758402398e-48
285,IL6R_APOB_LYZ,111,5.863398133001282,9.556774639652184e-41
308,SELENOF_ATP5MC2_RACK1_ATP5F1E,0011,5.862740573172735,5.677875972380283e-45
147,CD36_COL4A1_TM4SF1,011,5.8625404191426504,6.752944056978404e-33
286,GBP1_STAT1_CYP3A5,111,5.832608085907762,3.5488615121878346e-07
150,CHCHD10_ATP5MG_SELENOP,011,5.816633036847376,2.268508274104876e-43
287,ANG_FGB_FGG,111,5.78755107143544,1.8516525712990176e-83
127,VSIR_SPI1_ATP5F1E,101,5.750390168128151,2.165242758674155e-18
300,ATP5F1A_RACK1_ATP5F1E_SELENOP,0011,5.727583683711332,2.2154498077160497e-24
131,EREG_IL1B_FCN1,011,5.713198215875668,2.8545535676441848e-12
288,CYP2C9_GC_MLXIPL,111,5.7115361556950175,9.845380045742571e-13
368,IL2RB_KLRB1_IL7R_CCL5,1011,5.683267018512401,1.2519788532240177e-31
133,EREG_IL1B_FCN1,110,5.676397101001632,1.7835177093790295e-15
289,GBP1_STAT1_VIM,111,5.522002552654915,9.763321166588717e-10
114,MINDY2_RACK1_ATP5F1E,101,5.51398288468674,1.7063386640130675e-06
87,ATP5PB_ATP5F1E_SELENOP,101,5.412358959673626,1.2837420166966958e-09
314,SELENOF_RACK1_ATP5F1E_SELENOP,0011,5.410675450649883,7.087794146967994e-45
145,KNG1_CYP2E1_HPD,011,5.3765035960369545,1.4809665196884005e-22
104,ATP5PB_RACK1_ATP5F1E,101,5.366187982331103,6.448331851477314e-11
101,ATP5F1B_RACK1_ATP5F1E,101,5.34422347460587,5.374735373014244e-10
290,G6PC_MAT1A_FGA,111,5.332989137169057,1.5126973828012613e-09
291,ZFAND2A_DNAJB1_HSPA1A,111,5.328621576883993,1.0945669868360839e-16
292,EPAS1_A2M_TM4SF1,111,5.25622931293459,3.1741376686570776e-11
180,DOK3_S100A8_MS4A7,110,5.250403781201219,9.80723326334885e-15
315,SELENOF_RACK1_ATP5F1E_SELENOP,0110,5.246651960722664,8.919413251940815e-42
293,CCL3_CCL4_JUN,111,5.185504374307037,1.884514681048539e-12
206,DUSP2_NFKBIA_LCP1,101,5.1667709418806185,6.3763767498807285e-09
294,BTG2_HERPUD1_DNAJB1,111,5.165480035492457,3.306412187299323e-17
295,BTG2_DNAJB1_SRGN,111,5.124750923567115,3.892216345276832e-93
153,FSCN1_RNASE1_COL4A1,101,5.083250704359221,2.490051922328069e-05
296,CD36_HSPA1A_TFF2,111,5.057722366891834,8.196434475139378e-09
375,CYP2C9_HPX_GC_MLXIPL,1101,5.054092720568056,5.854106250872335e-14
297,DUSP2_NFKBIA_SRGN,111,5.050397701160276,2.0139293175589227e-28
298,FKBP11_FGB_AGR2,111,5.041306279227602,5.310807843821765e-31
299,FOXO1_ACTN4_ITM2B,111,5.0246347422624815,2.792628203922319e-50
