"","Cycle","Stress","Interferon","Hypoxia","Oxphos","Metal","Mesenchymal","pEMT","Alveolar","Basal","Squamous","Glandular","Ciliated","AC","OPC"
"122","HIST2H2AC","KLF5","TAP2.1",,,,,"TAGLN",,,,,,,
"123","HJURP","KLF6","TAPBP",,,,,"TAGLN2",,,,,,,
"124","HMG20B","LDLR","TGM2",,,,,"TGFBI",,,,,,,
"125","HMGB1","LIF","TNFSF10",,,,,"THBS1",,,,,,,
"126","HMGB2","LIMA1","TNFSF13B",,,,,"TIMP1",,,,,,,
"127","HMGB3","LINC00910","TRIM22",,,,,"TIMP3",,,,,,,
"128","HMGN2","LINC00936","TYMP",,,,,"TMSB10",,,,,,,
"129","HMMR","LMNA","UBD",,,,,"TMSB4X",,,,,,,
"130","HN1","MAFB","UBE2L6",,,,,"TNC",,,,,,,
"131","HNRNPA1","MAFF","USP18",,,,,"TNFRSF12A",,,,,,,
"132","HNRNPA2B1","MALAT1","VCAM1",,,,,"TNFRSF21",,,,,,,
"133","HPRT1","MAP3K8","WARS",,,,,"TNFRSF6B",,,,,,,
"134","HSPD1","MCL1","XAF1",,,,,"TPM1",,,,,,,
"135","ILF2","METTL15","ZC3HAV1",,,,,"TPM2",,,,,,,
"136","IQGAP3","MIDN","ZNFX1",,,,,"TPM4",,,,,,,
"137","ITGB3BP","MIR222HG",,,,,,"TRIM29",,,,,,,
"138","JPT1","MIR24-2",,,,,,"TSHZ2",,,,,,,
"139","KIAA0101","MIR3064",,,,,,"TXN",,,,,,,
"140","KIAA1524","MKNK2",,,,,,"UACA",,,,,,,
"141","KIF11","MXD1",,,,,,"VIM",,,,,,,
"142","KIF14","MYADM",,,,,,"WDR1",,,,,,,
"143","KIF15","MYC",,,,,,"YBX1",,,,,,,
"144","KIF18A","MYLIP",,,,,,"ZBED2",,,,,,,
"145","KIF20A","NAMPT",,,,,,,,,,,,,
"146","KIF20B","NCOA7",,,,,,,,,,,,,
"147","KIF22","NEAT1",,,,,,,,,,,,,
"148","KIF23","NEDD9",,,,,,,,,,,,,
"149","KIF2C","NFKBIA",,,,,,,,,,,,,
"150","KIF4A","NFKBID",,,,,,,,,,,,,
"151","KIFC1","NFKBIZ",,,,,,,,,,,,,
"152","KNSTRN","NOP58",,,,,,,,,,,,,
"153","KPNA2","NPAS4",,,,,,,,,,,,,
"154","LIG1","NR4A1",,,,,,,,,,,,,
